simTime,MCCIndex,specWeatherModel,cloudCover
10.10001,4,66.9655,2
10.2,0,0,0
10.20001,0,0,0
10.2,1,0,0
10.20001,1,13.1047,1
10.2,2,62.377,2
10.20001,2,49.8537,2
10.2,3,17.1009,1
10.20001,3,17.1009,1
10.2,4,66.9655,2
10.20001,4,56.0189,2
10.3,0,0,0
10.30001,0,0,0
10.3,1,13.1047,1
10.30001,1,0.520559,0
10.3,2,49.8537,2
10.30001,2,49.8537,2
10.3,3,17.1009,1
10.30001,3,18.9479,1
10.3,4,56.0189,2
10.30001,4,56.0189,2
10.4,0,0,0
10.40001,0,6.54414,1
10.4,1,0.520559,0
10.40001,1,6.42104,1
10.4,2,49.8537,2
10.40001,2,40.6266,2
10.4,3,18.9479,1
10.40001,3,18.9479,1
10.4,4,56.0189,2
10.40001,4,37.2578,2
10.5,0,6.54414,1
10.50001,0,6.54414,1
10.5,1,6.42104,1
10.50001,1,8.08561,1
10.5,2,40.6266,2
10.50001,2,40.6266,2
10.5,3,18.9479,1
10.50001,3,18.9479,1
10.5,4,37.2578,2
10.50001,4,46.0654,2
10.6,0,6.54414,1
10.60001,0,0,0
10.6,1,8.08561,1
10.60001,1,8.08561,1
10.6,2,40.6266,2
10.60001,2,42.7899,2
10.6,3,18.9479,1
10.60001,3,18.9479,1
10.6,4,46.0654,2
10.60001,4,46.0654,2
10.7,0,0,0
10.70001,0,4.05256,1
10.7,1,8.08561,1
10.70001,1,13.5039,1
10.7,2,42.7899,2
10.70001,2,42.7899,2
10.7,3,18.9479,1
10.70001,3,18.9479,1
10.7,4,46.0654,2
10.70001,4,46.0654,2
10.8,0,4.05256,1
10.80001,0,4.05256,1
10.8,1,13.5039,1
10.80001,1,12.1696,1
10.8,2,42.7899,2
10.80001,2,42.7899,2
10.8,3,18.9479,1
10.80001,3,28.2488,2
10.8,4,46.0654,2
10.80001,4,46.0654,2
10.9,0,4.05256,1
10.90001,0,12.9224,1
10.9,1,12.1696,1
10.90001,1,12.1696,1
10.9,2,42.7899,2
10.90001,2,42.7899,2
10.9,3,28.2488,2
10.90001,3,12.9929,1
10.9,4,46.0654,2
10.90001,4,46.0654,2
11,0,12.9224,1
11.00001,0,12.9224,1
11,1,12.1696,1
11.00001,1,12.1696,1
11,2,42.7899,2
11.00001,2,34.3469,2
11,3,12.9929,1
11.00001,3,12.9929,1
11,4,46.0654,2
11.00001,4,46.0654,2
11.1,0,12.9224,1
11.10001,0,23.1654,1
11.1,1,12.1696,1
11.10001,1,1.87744,0
11.1,2,34.3469,2
